"device_IDs","hogares"
"aXZ2Ymg3YzdmMjYwOmNlOGxjaGcyYTJlOTA=","1305100201170"
"aXZkaTY5ZWIxZDRoOmMwa2ZpanVvM2Y0NnI=","130830034"
"aXZqYXMxYmVmOTJnOmNqcWdjMG9icDYxc24=","1304800010529"
"aXZybTVhMXBmaWRkOjUwZjhvcGoyZGp2bA==",NA
"azcwNjA2a3JmM2duOjEyZWRrNGw0c3QzYzA=",NA
"azFhNWJpNjFqcWxhOjZoZTR1NXZoYmNzbmI=","1304800010745"
"azFna3Q2cWs5ZjI6Mm5ndWNkcWQzczU5OQ==","1306900020957"
"azhnZmo2a2pjanE1OjM2NDlub3UydWJqY2Y=","1305100831931"
"azJyMDBmZ21pcm9iOjN1bGE1cHAzdWoyMmU=","1304800011550"
"azlqdm1nMDlyNmpzOjNvcXVkY2RnanRhdHU=","1304800012188"
"azN0OW5jY3Zna286YnVwYzZpdmdvdHM2dg==","1304800011508"
"azN1bGtiM3Qxb3NuOmZuNzA4ZXNyb3VtbW4=",NA
"azNnN25mZ2s1MDd1OjdmbTh2b2E5bWF0cjk=","1306900051122"
"azNqbGV0NzZobzI0OmFnNWM3b2poaGlwa2g=","130480020_V"
"azRoNGxzZmY3NmNuOjZucmNjamJkOTNiZXM=",NA
"azVtNXRsNmdyaGlpOjhoY3VwMXVvOTQ2NG0=","1304800012347"
"azVucWdyYWkzYjd2Omw4ZGw4dWZza2JhYw==","1304800010961"
"azZrYzR1NGh2dTkzOjFvbm8wZG5sZG1kamM=","1305101482291"
"b21oaWNxczI1OGVtOmZzZjdscDgwYzg1b20=","1304800010162"
"b21pNGoybmIwNWowOmQ2bnI1MXB2Nm9jNTU=","130690016_I"
"b29tMmN0dGYxNzA5OmR2cDc5cmJtb2ZyaWQ=","1304800010478"
"b29uNGVvNDFkM2JiOmYyNTdqaTdiOWYzZGc=",NA
"b2d1Z3RvMWE2aTR0OmNoYXRudjllMmltNzY=","1308301020176"
"b2d2YjRlY2o2a2V1OnQ5bGVpazdlMmpoOQ==","130480001100A"
"b2FocjdzcjcxZzg6OTZvcWJtNXQzaWcyZg==","1304800010251"
"b2FrZWdoZmc2ZmpnOjloOGZwcjhwOGh0bG8=","1305100631240"
"b2FwbWNvdWswOThnOmFrZmxpNjFzZGJqYWk=","1304800010177"
"b2k3dWsyanY5anFwOjlnczgwM282cjd1bDQ=","1305100101128"
"b2NhYXZjY2g4ODdqOmZxNGNkaDhzdnMxdA==","1304800010529"
"b2NnbmR2NHRhZ2U3OjEyazdia2NqNnBxZzc=","130510577_Z"
"b2NqMGhvM2tnajRlOjI0Y3FzMmttZ2F1ZXA=","1304800010919"
"b2oza29pYzlwYXU0OmJnanRiZ2ljM3AyZ2o=","1308301020161"
"b2p1dHV0MWJwOGxiOjF0N2E4c2djN29jdm8=","130480001292A"
"b2RnMHI5M3Q0NGwwOmNraDliYjJsbm80djE=","1304800010529"
"b2RwMmlia3NzdWtkOjY3amRicTVqNTQ0Nmc=","130520023"
"b2t0ajY3ZGZ1cjg0OmRnaWVjOGI2cXVlcWU=","130480001011A"
