"hogares","conteo","POB1"
"1304800010891",30,1984
"1304800010904",16,1692
"1304800010919",200,3373
"1304800010923",128,2762
"1304800010938",55,1409
"1304800010942",57,2915
"1304800010957",15,1188
"1304800010961",76,2106
"1304800010976",246,1586
"1304800010980",156,2786
"1304800010995",114,4035
"130480001100A",71,3054
"1304800011014",3,NA
"1304800011048",94,2441
"1304800011052",153,4039
"1304800011067",35,1860
"1304800011071",42,1421
"1304800011090",62,2255
"1304800011118",65,2722
"1304800011122",82,3004
"1304800011137",56,2456
"1304800011156",77,2863
"130480001118A",24,1531
"1304800011194",11,1811
"1304800011207",5,NA
"1304800011245",31,2499
"1304800011264",23,1495
"1304800011279",1,83
"1304800011283",2,159
"1304800011298",34,1280
"1304800011300",27,916
"1304800011315",1,239
"1304800011349",10,353
"1304800011353",3,114
"1304800011372",29,1113
"1304800011387",44,1560
"1304800011391",13,1387
"1304800011404",57,1068
"1304800011419",56,2768
"1304800011423",91,515
"1304800011438",27,1837
"1304800011442",20,559
"1304800011457",8,449
"1304800011476",10,461
"1304800011508",71,2353
"1304800011512",37,904
"1304800011527",85,2517
"1304800011531",83,2993
"1304800011546",123,1976
"1304800011550",402,638
"1304800011565",50,2041
"1304800011599",74,2532
"1304800011601",32,1928
"1304800011847",19,0
"1304800011917",3,449
"1304800011921",15,437
"1304800011936",73,1825
"1304800011940",139,2475
"1304800011955",46,1279
"130480001196A",89,1995
"1304800011974",37,1233
"1304800011989",46,1956
"1304800011993",58,1938
"1304800012008",121,1772
"1304800012031",10,696
"1304800012046",11,979
"1304800012050",4,651
"1304800012101",37,2081
"1304800012116",24,1123
"1304800012120",74,3710
"1304800012135",53,2131
"130480001214A",76,1995
"1304800012154",55,1794
"1304800012169",43,2500
"1304800012173",34,1656
"1304800012188",59,1967
"1304800012192",129,3757
"1304800012239",2,202
"1304800012243",6,171
"1304800012262",16,1186
"1304800012313",6,106
"1304800012328",145,1129
"1304800012332",22,1139
"1304800012347",397,2074
"1304800012351",148,1784
"1304800012366",129,2208
"1304800012370",74,1250
"1304800012385",39,1562
"130480001239A",46,1140
"1304800012402",121,1254
"1304800012417",295,652
"1304800012421",27,938
"1304800012436",1,453
"1304800012440",19,1104
"1304800012455",6,490
"130480001246A",4,196
"1304800012474",12,1495
"1304800012489",4,349
"1304800012493",43,2042
"1304800012506",25,1384
"1304800012510",21,1168
"1304800012525",7,918
"130480001253A",10,1481
"1304800012544",50,1398
"1304800012559",8,522
"1304800012563",35,1783
"1304800012578",5,742
"1304800012582",13,1366
"130480001260A",12,564
"1304800012614",16,250
"1304800012629",10,774
"1304800012633",9,1026
"1304800012648",42,3219
"1304800012652",28,3547
"1304800012667",37,2918
"1304800012722",13,101
